date,yield_10y,yield_30y
2025-10-13,1.8383,2.2729
2025-10-14,1.8368,2.2678
2025-10-15,1.8449,2.2603
2025-10-16,1.8407,2.2414
2025-10-17,1.8246,2.2002
2025-10-20,1.8498,2.2162
2025-10-21,1.8357,2.1871
2025-10-22,1.8293,2.1821
2025-10-23,1.8391,2.1946
2025-10-24,1.8486,2.2126
2025-10-27,1.8423,2.2031
2025-10-28,1.8179,2.17
2025-10-29,1.8208,2.177
2025-10-30,1.8098,2.1625
2025-10-31,1.7954,2.1431
2025-11-03,1.7944,2.1376
2025-11-04,1.7984,2.1421
2025-11-05,1.7964,2.1391
2025-11-06,1.81,2.1596
2025-11-07,1.8142,2.1581
2025-11-10,1.8139,2.1476
2025-11-11,1.8119,2.1537
2025-11-12,1.8071,2.1431
2025-11-13,1.8126,2.1491
2025-11-14,1.814,2.1481
2025-11-17,1.8109,2.1391
2025-11-18,1.8121,2.1381
2025-11-19,1.8179,2.1506
2025-11-20,1.8135,2.1531
2025-11-21,1.8166,2.1576
2025-11-24,1.821,2.1586
2025-11-25,1.8301,2.1751
2025-11-26,1.8462,2.1926
2025-11-27,1.8537,2.2001
2025-11-28,1.8412,2.1851
2025-12-01,1.8366,2.1901
2025-12-02,1.8442,2.2051
2025-12-03,1.8519,2.2351
2025-12-04,1.8718,2.2761
